ID,Name,Position,Team,Current Price,Total Points,Points Per Game,Event Points,Form,Influence,Creativity,Threat,ICT Index,BPS,Chance Of Playing,News,Days Since News Added,Selected By Percent,Minutes,Goals Scored,Assists,Clean Sheets,Goals Conceded,Goals Conceded per 90,Own Goals,Penalties Saved,Penalties Missed,Yellow Cards,Red Cards,Saves,Bonus,Direct_Freekick_or_Penalty,Indirect_Freekick_or_Corner,Clean Sheet Adder,Goal Scored Adder,Assists Adder,Penalty Missed Adder,Penalties Saved Adder,3_Shot Save Adder,2_Goals Conceded Adder,Yellow Card Adder,Red Card Adder,Own Goal Adder,EP Next,Goal Contributions,Goals per 90,Assists per 90,Threat per 90
328,M.Salah,Midfielder,Liverpool,12.6,74,9.2,12,8.3,337.6,213.8,427.0,97.7,251,100,No news,,38.8,694,5,5,5,3,0.39,0,0,0,0,0,0,13,1,0,1,5,3,-2,5,0,0,-1,-3,-2,8.3,10,0.648414985590778,0.648414985590778,55.37463976945245
351,Haaland,Forward,Man City,15.4,69,8.6,2,2.0,381.0,66.1,493.0,94.1,323,100,No news,41.0,73.6,719,10,0,1,9,1.13,0,0,0,1,0,0,14,1,0,0,4,3,-2,5,0,0,-1,-3,-2,3.5,10,1.2517385257301807,0.0,61.71070931849791
182,Palmer,Midfielder,Chelsea,10.9,69,8.6,2,11.0,368.6,314.4,222.0,90.6,287,100,No news,50.0,52.4,685,6,5,2,10,1.31,0,0,0,3,0,0,9,1,1,1,5,3,-2,5,0,0,-1,-3,-2,11.5,11,0.7883211678832117,0.6569343065693432,29.167883211678834
327,Luis Díaz,Midfielder,Liverpool,7.9,55,6.9,1,1.3,240.2,137.9,236.0,61.4,188,100,No news,,29.7,470,5,1,5,1,0.19,0,0,0,0,0,0,8,0,0,1,5,3,-2,5,0,0,-1,-3,-2,1.3,6,0.9574468085106382,0.19148936170212766,45.191489361702125
17,Saka,Midfielder,Arsenal,10.0,54,7.7,0,6.3,295.2,378.4,341.0,101.4,232,25,Hamstring injury,12.0,27.3,566,2,7,3,5,0.8,0,0,0,1,0,0,8,1,1,1,5,3,-2,5,0,0,-1,-3,-2,1.6,9,0.31802120141342755,1.1130742049469964,54.2226148409894
99,Mbeumo,Midfielder,Brentford,7.6,53,6.6,2,6.3,295.0,263.0,210.0,76.9,228,100,No news,,31.9,719,6,0,0,15,1.88,0,0,0,2,0,0,9,1,1,1,5,3,-2,5,0,0,-1,-3,-2,6.3,6,0.7510431154381085,0.0,26.286509040333797
148,Welbeck,Forward,Brighton,5.9,50,6.2,9,6.3,224.4,115.9,274.0,61.4,189,75,Back injury,5.0,20.1,676,5,1,3,10,1.33,0,0,0,1,0,0,12,1,0,0,4,3,-2,5,0,0,-1,-3,-2,4.7,6,0.665680473372781,0.13313609467455623,36.4792899408284
58,Watkins,Forward,Aston Villa,9.1,49,6.1,8,7.0,203.2,84.0,271.0,55.8,169,100,No news,50.0,29.6,605,5,2,3,7,1.04,0,0,0,0,0,0,7,1,0,0,4,3,-2,5,0,0,-1,-3,-2,7.0,7,0.743801652892562,0.2975206611570248,40.31404958677686
180,N.Jackson,Forward,Chelsea,7.9,48,6.0,6,4.3,240.8,95.1,318.0,65.4,196,100,No news,,17.1,611,5,3,2,9,1.33,0,0,0,3,0,0,6,0,0,0,4,3,-2,5,0,0,-1,-3,-2,4.8,8,0.7364975450081833,0.44189852700491,46.84124386252046
230,McNeil,Midfielder,Everton,5.8,47,5.9,6,7.7,235.6,394.2,129.0,75.9,208,100,No news,,12.1,712,3,3,2,15,1.9,0,0,0,1,0,0,6,0,1,1,5,3,-2,5,0,0,-1,-3,-2,7.7,6,0.3792134831460674,0.3792134831460674,16.3061797752809
